City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Tilichiki,RU,2/12/2022 7:56,60.4667,166.1,-17.86,90,8,8.59,clear sky
197,Huarmey,PE,2/12/2022 7:56,-10.0681,-78.1522,70.77,84,100,7.36,overcast clouds
198,Strezhevoy,RU,2/12/2022 7:56,60.7333,77.5889,-5.03,94,76,11.21,broken clouds
199,Ales,FR,2/12/2022 7:56,44.1333,4.0833,41.25,37,29,4.29,scattered clouds
200,Chokurdakh,RU,2/12/2022 7:56,70.6333,147.9167,-2.96,96,100,13.8,overcast clouds
201,Kirakira,SB,2/12/2022 7:56,-10.4544,161.9205,79.23,85,100,0.09,light rain
202,Beyneu,KZ,2/12/2022 7:56,45.3167,55.2,40.84,60,32,16.89,scattered clouds
203,Mackay,AU,2/12/2022 7:56,-21.15,149.2,84.18,65,40,16.11,scattered clouds
204,Westport,US,2/12/2022 7:54,41.1415,-73.3579,51.64,63,46,8.99,scattered clouds
205,Nishihara,JP,2/12/2022 7:56,26.1842,127.7558,70.88,78,75,19.57,broken clouds
206,Areosa,PT,2/12/2022 7:56,41.7178,-8.8571,52.36,87,71,1.28,broken clouds
207,Vostok,RU,2/12/2022 7:56,46.4856,135.8833,9.75,96,100,4.36,light snow
208,Panguipulli,CL,2/12/2022 7:56,-39.6333,-72.3333,40.71,62,76,3.4,broken clouds
209,Kupino,RU,2/12/2022 7:56,54.3663,77.2981,0.95,93,48,11.59,scattered clouds
210,Ambon,ID,2/12/2022 7:56,-3.6954,128.1814,87.94,70,40,11.5,scattered clouds
211,Porechye-Rybnoye,RU,2/12/2022 7:56,57.098,39.3835,28.31,90,99,11.43,overcast clouds
212,Kalevala,RU,2/12/2022 7:56,65.2,31.1667,9.28,96,34,6.06,scattered clouds
213,Vao,NC,2/12/2022 7:56,-22.6667,167.4833,80.67,83,100,8.37,overcast clouds
214,Ratnagiri,IN,2/12/2022 7:56,16.9833,73.3,89.24,36,59,8.01,broken clouds
215,Upington,ZA,2/12/2022 7:56,-28.4478,21.2561,84.58,42,0,11.5,clear sky
216,Sayyan,YE,2/12/2022 7:56,15.1718,44.3244,66.81,21,0,2.46,clear sky
217,Roma,US,2/12/2022 7:56,43.2128,-75.4557,45.73,95,100,1.01,mist
218,Sur,OM,2/12/2022 7:56,22.5667,59.5289,76.46,39,0,4.56,clear sky
219,Chisindia,RO,2/12/2022 7:56,46.2833,22.1,38.19,61,44,6.51,scattered clouds
220,Yatou,CN,2/12/2022 7:56,37.15,122.3833,40.77,52,96,7,overcast clouds
221,Flinders,AU,2/12/2022 7:56,-34.5833,150.8552,70.88,88,67,5.99,light rain
222,College,US,2/12/2022 7:56,64.8569,-147.8028,-0.02,80,0,0,clear sky
223,Honiara,SB,2/12/2022 7:56,-9.4333,159.95,77.58,89,100,3.67,overcast clouds
224,Penzance,GB,2/12/2022 7:56,50.1186,-5.5371,50.07,76,40,20.71,scattered clouds
